run_id,learning_rate,batch_size,buffer_size,hidden_units,num_layers,time_horizon,beta,gamma,lambd,final_10_percent_reward_mean,mean_reward,max_reward,min_reward,late_phase_std,all_rewards_std,convergence_detected,convergence_episode,episodes_after_convergence,total_episodes,training_duration_seconds,config_hash,config_path,error_occurred,created_at,updated_at,error_message,max_steps
3DBall_20260117_153349_spyds5,0.003,512,1024,64,3,256,0.001,0.92,0.95,484.685,189.444182098765,500.02,4.2,208.423798781861,231.099449895329,true,69,579,648,225,3983776595678183843,,false,2026-01-17 14:37:42.120108,2026-01-17 14:37:42.120108,,250000
3DBall_20260117_154107_7t0d7s,0.00003,1024,32768,32,1,256,0.0003,0.97,0.95,10.8145852895149,10.6367969703609,48.2,4.1,3.93219830770199,3.81669006155128,true,67,31884,31951,739,7856465351011618372,,false,2026-01-17 14:53:33.756836,2026-01-17 14:53:33.756836,,750000
3DBall_20260117_155327_4zablx,0.001,32,16384,256,1,64,0.003,0.999,0.9,186.390948717949,30.2869187387849,500.02,4.6,114.810402966544,83.5201171593161,true,58,3843,3901,338,-7963452776168997576,,false,2026-01-17 14:59:12.39066,2026-01-17 14:59:12.39066,,250000
3DBall_20260117_155906_2yee20,0.003,128,2048,32,1,128,0.003,0.9,0.97,403.313787878788,185.852466063348,500.02,4.6,217.722664126968,232.414263076029,true,52,1274,1326,418,6439769327453722180,,false,2026-01-17 15:06:11.899948,2026-01-17 15:06:11.899948,,500000
3DBall_20260117_160605_mkgu2e,0.00003,256,1024,128,3,128,0.003,0.92,0.92,30.3268357810414,15.5809981318388,187.5,4.3,14.9992627340633,11.9246519898035,true,50,7444,7494,232,-5300590824940636506,,false,2026-01-17 15:10:04.452995,2026-01-17 15:10:04.452995,,250000
3DBall_20260117_160958_71jb5d,0.00001,256,32768,64,3,32,0.001,0.92,0.97,10.7543417366947,10.5701082897685,49.5,4.3,3.80285122429585,3.8122193168435,true,50,10662,10712,226,8407141630061447573,,false,2026-01-17 15:13:51.778406,2026-01-17 15:13:51.778406,,250000
3DBall_20260117_161345_x26n3b,0.00001,128,32768,32,3,64,0.0003,0.995,0.99,13.4074272588055,11.6595988465563,53,4.2,5.19491580299324,4.6749878820806,true,77,39110,39187,977,1635212257034230390,,false,2026-01-17 15:30:09.439985,2026-01-17 15:30:09.439985,,1000000
3DBall_20260117_162308_osqpg7,0.0001,2048,4096,256,3,64,0.0001,0.97,0.95,146.691875,33.956180890275,500.02,4.2,91.2356587148764,68.4770214246055,true,50,3477,3527,134,5512799571180860940,,false,2026-01-17 15:25:23.408578,2026-01-17 15:25:23.408578,,250000
3DBall_20260117_162524_2ggusi,0.00001,512,32768,32,1,64,0.03,0.97,0.99,10.8466292134831,10.6042228464419,40.6,4.1,3.82443052151721,3.76425927612658,true,67,10613,10680,151,-6628789916945447607,,false,2026-01-17 15:27:55.202063,2026-01-17 15:27:55.202063,,250000
3DBall_20260117_163003_s1vgn5,0.001,32,16384,64,1,64,0.1,0.95,0.9,471.75853862213,103.145041753653,500.02,4.3,224.334428070186,183.560957389796,true,85,4705,4790,1274,2514744484792926787,,false,2026-01-17 15:51:24.453044,2026-01-17 15:51:24.453044,,1000000
3DBall_20260117_164111_zh299c,0.00003,512,16384,256,2,256,0.0003,0.999,0.97,212.997484909457,48.8562997187626,500.02,4.2,132.680414746076,101.042323484383,true,51,4927,4978,233,-4479260219507984706,,false,2026-01-17 15:45:04.464586,2026-01-17 15:45:04.464586,,500000
3DBall_20260117_164505_tltro1,0.001,32,2048,256,3,32,0.001,0.9,0.97,323.834539969834,73.9213814401928,500.02,3.2,200.322927588234,162.879007969025,true,50,6588,6638,858,-3417607292830357897,,false,2026-01-17 15:59:23.884015,2026-01-17 15:59:23.884015,,1000000
3DBall_20260117_165118_iaf1s4,0.001,256,1024,512,1,128,0.001,0.92,0.99,452.691219512195,147.900547445255,500.02,4.5,234.986210202118,215.270722773156,true,54,768,822,205,-3748880587460844526,,false,2026-01-17 15:54:50.557304,2026-01-17 15:54:50.557304,,250000
3DBall_20260117_165444_yj1n1t,0.00003,128,32768,256,2,64,0.003,0.999,0.92,374.632103786816,51.147238575834,500.02,4.2,164.777077829745,123.347042844445,true,83,7051,7134,782,-5952433169306452785,,false,2026-01-17 16:07:53.802049,2026-01-17 16:07:53.802049,,750000
3DBall_20260117_165924_ya4ysy,0.003,256,1024,32,3,64,0.003,0.995,0.95,449.555862068965,208.726974358974,500.02,4.1,189.137358204711,237.983685980925,true,54,531,585,107,1077612347514428076,,false,2026-01-17 16:01:11.690131,2026-01-17 16:01:11.690131,,250000
3DBall_20260117_170112_b9z1zt,0.00003,1024,1024,32,2,64,0.001,0.97,0.99,10.6142396313364,10.4166981436271,43.6,4,3.61579692861391,3.59154732204907,true,51,21658,21709,227,-271850215266565195,,false,2026-01-17 16:04:59.884225,2026-01-17 16:04:59.884225,,500000
3DBall_20260117_170500_6k6od1,0.003,256,8192,128,2,128,0.01,0.999,0.92,474.897903225806,97.7442891566265,500.02,4.6,223.133791949765,179.964807747367,true,128,1117,1245,104,5379422338324498871,,false,2026-01-17 16:06:45.172733,2026-01-17 16:06:45.172733,,250000
3DBall_20260117_170646_cyfs0a,0.0001,64,16384,32,1,128,0.0003,0.995,0.97,57.6466339869281,19.2137281775167,379.51,4.4,31.4036692445221,23.8781446759472,true,69,6060,6129,121,-874012153849933647,,false,2026-01-17 16:08:47.14974,2026-01-17 16:08:47.14974,,250000
3DBall_20260117_170747_d6hcx7,0.0001,64,16384,32,2,32,0.1,0.999,0.99,134.793512304251,26.2537843268587,500.02,4.4,88.2215924381818,64.273990583598,true,87,4392,4479,323,588644389457758732,,false,2026-01-17 16:13:18.072708,2026-01-17 16:13:18.072708,,250000
3DBall_20260117_170848_rkzc5g,0.0001,128,16384,256,2,128,0.1,0.99,0.97,496.448181818182,132.054439402029,500.02,4.3,234.830973416972,205.294467641158,true,64,3682,3746,471,-8331282710969339141,,false,2026-01-17 16:16:39.619681,2026-01-17 16:16:39.619681,,1000000
3DBall_20260117_171312_8dgua0,0.001,512,16384,64,2,32,0.001,0.92,0.99,492.113626373626,101.381145289756,500.02,4.2,227.735729410196,184.814483762308,true,58,3583,3641,610,-2098067234704182634,,false,2026-01-17 16:23:29.447056,2026-01-17 16:23:29.447056,,750000
3DBall_20260117_171640_pymn3w,0.0003,64,1024,256,3,64,0.1,0.95,0.97,486.526965517241,341.354050894085,500.02,4.7,135.014367010836,218.801381117315,true,50,1404,1454,610,-4755740670730006254,,false,2026-01-17 16:26:50.632233,2026-01-17 16:26:50.632233,,1000000
3DBall_20260117_172323_ta2gnw,0.003,2048,8192,256,3,128,0.01,0.995,0.95,497.634090909091,68.5602319004525,500.02,4.5,196.184051962521,150.26500665793,true,58,1710,1768,190,-35550847662130526,,false,2026-01-17 16:26:40.21651,2026-01-17 16:26:40.21651,,250000
3DBall_20260117_172634_q0cczt,0.0003,128,32768,256,1,256,0.001,0.995,0.97,34.5006675567423,15.5557941058808,213.4,4.2,16.4705425915307,12.9454640745254,true,51,7448,7499,262,1722927550638122224,,false,2026-01-17 16:31:03.312667,2026-01-17 16:31:03.312667,,250000
3DBall_20260117_172651_ejyqku,0.00001,2048,32768,32,3,256,0.03,0.99,0.92,10.5595903165736,10.5389944134078,36.2,4,3.67251743306444,3.67424562672134,true,51,10689,10740,114,-6108801798848917968,,false,2026-01-17 16:28:45.95841,2026-01-17 16:28:45.95841,,250000
3DBall_20260117_172846_2bo1wp,0.001,2048,2048,128,2,256,0.01,0.95,0.99,496.460143884892,177.178810035842,500.02,4.7,220.137306439694,227.027066902916,true,99,1296,1395,187,7538351079638763468,,false,2026-01-17 16:31:53.907782,2026-01-17 16:31:53.907782,,500000
3DBall_20260117_173057_nzai9y,0.001,64,16384,256,1,128,0.01,0.9,0.99,422.382643678161,55.9693311882326,500.02,4.3,176.155091370691,132.542502698197,true,62,4289,4351,532,8297719065386439337,,false,2026-01-17 16:39:56.218333,2026-01-17 16:39:56.218333,,500000
3DBall_20260117_173154_j3mmq3,0.0001,32,1024,256,2,128,0.01,0.97,0.97,500.02,315.380101867572,500.02,4.4,84.8621601910368,235.046304119625,true,51,1127,1178,486,7766319946497538759,,false,2026-01-17 16:40:00.884014,2026-01-17 16:40:00.884014,,750000
3DBall_20260117_173950_p5p9i1,0.0001,64,1024,512,1,256,0.0003,0.995,0.99,485.699130434783,267.743607503608,500.02,4.3,85.0815292334217,237.772388519772,true,50,1336,1386,742,-7639423764961826590,,false,2026-01-17 16:52:18.778734,2026-01-17 16:52:18.778734,,750000
3DBall_20260117_174001_7mfzn9,0.00001,128,4096,512,3,256,0.03,0.99,0.99,469.60219895288,62.8948331595412,500.02,4.9,185.651036906936,141.197839557008,true,80,1838,1918,186,6459225856165328229,,false,2026-01-17 16:43:08.311103,2026-01-17 16:43:08.311103,,250000
3DBall_20260117_174309_hb1b13,0.00001,128,4096,64,2,64,0.0001,0.99,0.95,10.9779981114259,10.6937824323049,43.1,4.2,3.99868476898482,3.86870422379307,true,50,10549,10599,128,564532248234651901,,false,2026-01-17 16:45:17.096138,2026-01-17 16:45:17.096138,,250000
3DBall_20260117_174517_79iyh6,0.001,32,1024,256,3,256,0.03,0.92,0.97,481.10049689441,306.472717726992,500.02,4.4,146.756054712215,219.127118809613,true,50,1569,1619,761,1859134241656830110,,false,2026-01-17 16:57:59.566225,2026-01-17 16:57:59.566225,,1000000
3DBall_20260117_175212_9rl4w1,0.001,256,1024,32,3,64,0.001,0.999,0.99,455.582743902439,302.463430834857,500.02,4.7,81.0917668382841,237.022823082816,true,53,1588,1641,786,-3510583227800475292,,false,2026-01-17 17:05:25.695273,2026-01-17 17:05:25.695273,,1000000
3DBall_20260117_175800_bk6qg0,0.00001,2048,16384,256,3,32,0.01,0.97,0.99,12.6771327612317,11.5206450961587,47.9,4.1,4.84107821329336,4.48648566694228,true,89,19722,19811,270,9030156265010208018,,false,2026-01-17 17:02:31.039375,2026-01-17 17:02:31.039375,,500000
